X;Y;TIME;20S;TIME_CORR;DEPTH;CATEGORIA;COLOR;Column1;Frame
538439,516;3971645,751;14:28:19;00:00:20;14:28:39;429;Good for analysis;Green;Going backwards;1240
538439,6023;3971645,755;14:28:20;00:00:20;14:28:40;429;Good for analysis;Green;Going backwards;1241
538439,6887;3971645,758;14:28:21;00:00:20;14:28:41;429;Good for analysis;Green;Going backwards;1242
538439,775;3971645,762;14:28:22;00:00:20;14:28:42;429;Good for analysis;Green;Going backwards;1243
538439,8372;3971645,804;14:28:23;00:00:20;14:28:43;429;Good for analysis;Green;Going backwards;1244
538439,8993;3971645,845;14:28:24;00:00:20;14:28:44;429;Good for analysis;Green;Going backwards;1245
538439,9615;3971645,887;14:28:25;00:00:20;14:28:45;429;Good for analysis;Green;Going backwards;1246
538440,0237;3971645,928;14:28:26;00:00:20;14:28:46;429;Good for analysis;Green;Going backwards;1247
538440,0858;3971645,97;14:28:27;00:00:20;14:28:47;429;Good for analysis;Green;Going backwards;1248
538440,148;3971646,011;14:28:28;00:00:20;14:28:48;429;Good for analysis;Green;Going backwards;1249
538440,1267;3971646,079;14:28:29;00:00:20;14:28:49;429;Good for analysis;Green;Going backwards;1250
538440,1053;3971646,147;14:28:30;00:00:20;14:28:50;429;Good for analysis;Green;Going backwards;1251
538440,084;3971646,215;14:28:31;00:00:20;14:28:51;429;Good for analysis;Green;Going backwards;1252
538440,0627;3971646,282;14:28:32;00:00:20;14:28:52;429;Good for analysis;Green;Going backwards;1253
538440,0413;3971646,35;14:28:33;00:00:20;14:28:53;429;Good for analysis;Green;Going backwards;1254
538440,02;3971646,418;14:28:34;00:00:20;14:28:54;429;Good for analysis;Green;Going backwards;1255
538440,0122;3971646,489;14:28:35;00:00:20;14:28:55;429;Good for analysis;Green;Going backwards;1256
538440,0043;3971646,561;14:28:36;00:00:20;14:28:56;429;Good for analysis;Green;Going backwards;1257
538439,9965;3971646,632;14:28:37;00:00:20;14:28:57;429;Good for analysis;Green;Going backwards;1258
538439,9887;3971646,703;14:28:38;00:00:20;14:28:58;429;Good for analysis;Green;Going backwards;1259
538439,9808;3971646,775;14:28:39;00:00:20;14:28:59;429;Good for analysis;Green;Going backwards;1260
538439,973;3971646,846;14:28:40;00:00:20;14:29:00;429;Good for analysis;Green;Going backwards;1261
538439,985;3971646,927;14:28:41;00:00:20;14:29:01;429;Good for analysis;Green;Going backwards;1262
538439,997;3971647,008;14:28:42;00:00:20;14:29:02;429;Good for analysis;Green;Going backwards;1263
538440,009;3971647,089;14:28:43;00:00:20;14:29:03;429;Good for analysis;Green;Going backwards;1264
538440,021;3971647,169;14:28:44;00:00:20;14:29:04;429;Good for analysis;Green;Going backwards;1265
538440,033;3971647,25;14:28:45;00:00:20;14:29:05;429;Good for analysis;Green;Going backwards;1266
538440,045;3971647,331;14:28:46;00:00:20;14:29:06;429;Good for analysis;Green;Going backwards;1267
538440,1073;3971647,397;14:28:47;00:00:20;14:29:07;429;Good for analysis;Green;Going backwards;1268
538440,1697;3971647,464;14:28:48;00:00:20;14:29:08;429;Good for analysis;Green;Going backwards;1269
538440,232;3971647,53;14:28:49;00:00:20;14:29:09;429;Good for analysis;Green;Going backwards;1270
538440,2943;3971647,596;14:28:50;00:00:20;14:29:10;429;Good for analysis;Green;Going backwards;1271
538440,3567;3971647,663;14:28:51;00:00:20;14:29:11;429;Good for analysis;Green;Going backwards;1272
538440,419;3971647,729;14:28:52;00:00:20;14:29:12;429;Good for analysis;Green;Going backwards;1273
538440,456;3971647,719;14:28:53;00:00:20;14:29:13;429;Good for analysis;Green;Going backwards;1274
538440,493;3971647,708;14:28:54;00:00:20;14:29:14;429;Good for analysis;Green;Going backwards;1275
538440,53;3971647,698;14:28:55;00:00:20;14:29:15;429;Good for analysis;Green;Going backwards;1276
538439,9115;3971641,862;14:30:19;00:00:20;14:30:39;426;Good for analysis;Green;;1360
538439,833;3971641,758;14:30:20;00:00:20;14:30:40;426;Good for analysis;Green;;1361
538439,7545;3971641,654;14:30:21;00:00:20;14:30:41;426;Good for analysis;Green;;1362
538439,676;3971641,55;14:30:22;00:00:20;14:30:42;426;Good for analysis;Green;;1363
538439,6547;3971641,403;14:30:23;00:00:20;14:30:43;426;Good for analysis;Green;;1364
